id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
330,BOSCHLTD,Mar 2022,11782,10319,1462.0,12.0,391,29,324,1500,19.0,1217,413.0,51.0,409.0,30.0,10658.0,73.0,4650.0,15410.0,1211.0,606.0,5528.0,8066.0,15410.0,323.0,271.0,-33.0,-383.0,-146.0,10.32931590561874,0.006830089820359281,238.0
331,BOSCHLTD,Mar 2023,14929,13120,1810.0,13.0,471,12,386,1882,24.0,1424,483.0,99.0,410.0,30.0,10983.0,53.0,5194.0,16259.0,1731.0,366.0,5023.0,9140.0,16259.0,324.0,1214.0,262.0,-1239.0,236.0,9.538482148837831,0.004812494324888767,1476.0
332,BOSCHLTD,Mar 2024,16727,14632,2095.0,13.0,1566,51,430,3181,22.0,2490,844.0,44.0,411.0,30.0,12034.0,39.0,5252.0,17355.0,1770.0,224.0,5125.0,10236.0,17355.0,325.0,1253.0,283.0,-1452.0,84.0,14.88611227356968,0.003232758620689655,1536.0
333,BOSCHLTD,TTM,17150,14934,2216.0,13.0,876,13,412,2668,,2084,707.0,,,,,,,,,,,,,,,,,,12.15160349854227,,
334,BPCL,Mar 2013,242181,235472,6709.0,3.0,1492,2518,2463,3220,40.0,1936,4.0,42.0,413.0,723.0,16052.0,33157.0,29696.0,79628.0,24721.0,7463.0,7470.0,39974.0,79628.0,326.0,5926.0,-3604.0,-846.0,1476.0,0.7994021000821699,1.976572280178837,2322.0
335,BPCL,Mar 2014,264421,255007,9414.0,4.0,1344,1982,2611,6166,34.0,4053,9.0,31.0,414.0,723.0,18717.0,33152.0,35868.0,88460.0,27580.0,9372.0,6985.0,44523.0,88460.0,327.0,9588.0,-6881.0,-3736.0,-1029.0,1.532782948404249,1.705349794238683,2707.0
336,BPCL,Mar 2015,242598,232818,9780.0,4.0,2117,1180,3027,7690,34.0,5082,11.0,34.0,415.0,723.0,21839.0,25492.0,38268.0,86322.0,29109.0,15787.0,7712.0,33714.0,86322.0,328.0,20742.0,-10536.0,-9792.0,414.0,2.094823535231123,1.129864373725733,10206.0
337,BPCL,Mar 2016,187815,174844,12971.0,7.0,1913,680,2072,12132,33.0,8089,19.0,25.0,416.0,656.0,27138.0,23388.0,35241.0,86422.0,25358.0,17459.0,9401.0,34203.0,86422.0,329.0,11119.0,-9233.0,-1332.0,555.0,4.306897745121529,0.8414765776786357,1886.0
338,BPCL,Mar 2017,201251,187468,13783.0,7.0,2721,696,2108,13700,31.0,9507,20.0,49.0,417.0,1311.0,29508.0,35725.0,42541.0,109086.0,33684.0,16834.0,21327.0,37241.0,109086.0,330.0,9041.0,-15274.0,4804.0,-1429.0,4.723951682227666,1.159187514195788,-6233.0
339,BPCL,Mar 2018,235895,220578,15317.0,6.0,2927,1186,2885,14174,31.0,9792,21.0,46.0,418.0,1967.0,34652.0,37659.0,46078.0,120356.0,45539.0,9875.0,23725.0,41217.0,120356.0,331.0,11068.0,-7066.0,-4218.0,-215.0,4.150999385319739,1.02840055708785,4002.0
